"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","category_senti","sent.value"
"6","ShiSh ShridharDirector Business Strategy Retail Industrydiscusses what’s really working and…",FALSE,1,NA,2018-12-11 23:58:10,TRUE,NA,"1072641725972312064",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ObjectMgmtGroup",2,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.25
"10","Microsoft does tell people Obscure technical blog posts most Windows users will never see c…",FALSE,0,"canterrain",2018-12-11 23:57:15,TRUE,"1072615414230851586","1072641492861227011","14403380","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chrisbhoffman",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Negative",-0.6
"11","I am justdone with usingWord

Yes I know Im well behind the great template wars of CHI",FALSE,1,NA,2018-12-11 23:56:38,FALSE,NA,"1072641338984857600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","5tuartreeves",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",1.1
"16","et al The Corporate Donors Behind a Republican PowerGrabOur democracy is bei…",FALSE,0,"Walgreens",2018-12-11 23:54:55,TRUE,NA,"1072640907101552640","46177695","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","catslib",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.4
"18","thanks for your most excellent customer service today Appreciate the swift response and resolution Have a great Christmas",FALSE,0,"Microsoft",2018-12-11 23:54:09,FALSE,NA,"1072640712783601667","74286565","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jamesmw86",0,FALSE,FALSE,NA,NA,0,0,0,0,1,0,0,1,0,3,"Positive",3.35
"19","Cortana install Google Chrome",FALSE,0,"Microsoft",2018-12-11 23:53:59,FALSE,"1072576115967975426","1072640673021657088","74286565","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedeemerBlood",0,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,0,0,"Neutral",0
"29","yesunlike time past where you bought a program for a one time payment a…",FALSE,0,"AnneLaBarbera",2018-12-11 23:50:18,TRUE,"1072634190292770816","1072639745778507776","15501576","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClubDie",0,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,1,0,"Negative",-0.1
"30","rolls out updates tofor iOS with recognizable avatars and optimized swipescroll usability…",FALSE,0,"Microsoft",2018-12-11 23:50:02,TRUE,NA,"1072639679000928257","74286565","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","returnpath",0,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,0,1,"Positive",0.8
"32","Not coolThis is a good reason to do data migration and flash to Linux MAGA",FALSE,0,NA,2018-12-11 23:49:19,FALSE,NA,"1072639498801025024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FizzingWizBangs",0,FALSE,FALSE,NA,NA,0,1,0,0,1,0,1,1,0,2,"Positive",1.35
"33","That will add up toothings in totalthings from each three businesses Get it LOL",FALSE,0,"KaggyFilms",2018-12-11 23:49:18,FALSE,"1072020691325599744","1072639492442460162","193929402","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jay_zeke",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
